Date,Close,Volume,Open,High,Low
7/23/18,"$1,802 ",3858903,"$1,812.21 ","$1,819 ","$1,769.99 "
7/20/18,"$1,813.70 ",3879448,"$1,825.01 ","$1,834.84 ","$1,810.06 "
7/19/18,"$1,812.97 ",4590063,"$1,829.46 ","$1,841 ","$1,811.27 "
7/18/18,"$1,842.92 ",4851208,"$1,848 ","$1,858.88 ","$1,831.27 "
7/17/18,"$1,843.93 ",5660705,"$1,811.56 ","$1,851.69 ","$1,797.38 "
7/16/18,"$1,822.49 ",5425916,"$1,821.95 ","$1,841.95 ","$1,814.45 "
7/13/18,"$1,813.03 ",4381802,"$1,803.93 ","$1,815.30 ","$1,795.23 "
7/12/18,"$1,796.62 ",4511274,"$1,764.51 ","$1,798 ","$1,762.18 "
7/11/18,"$1,755 ",3167209,"$1,737.99 ","$1,756.96 ","$1,734 "
7/10/18,"$1,743.07 ",2977310,"$1,738.53 ","$1,750 ","$1,731 "
7/9/18,"$1,739.02 ",2926194,"$1,724.05 ","$1,739.56 ","$1,716.23 "
7/6/18,"$1,710.63 ",2586450,"$1,696 ","$1,715.27 ","$1,691.67 "
7/5/18,"$1,699.73 ",2974047,"$1,705.38 ","$1,710.69 ","$1,682.15 "
7/3/18,"$1,693.96 ",2177276,"$1,723.96 ","$1,725 ","$1,692.48 "
7/2/18,"$1,713.78 ",3180640,"$1,682.70 ","$1,713.89 ","$1,678.06 "
6/29/18,"$1,699.80 ",4486680,"$1,717 ","$1,723.41 ","$1,694.32 "
6/28/18,"$1,701.45 ",4521788,"$1,672.54 ","$1,705.50 ","$1,661.17 "
6/27/18,"$1,660.51 ",4778872,"$1,708.11 ","$1,711.95 ","$1,660 "
6/26/18,"$1,691.09 ",4295320,"$1,672.37 ","$1,701.57 ","$1,663.34 "
6/25/18,"$1,663.15 ",7494818,"$1,702.51 ","$1,705 ","$1,646.31 "
6/22/18,"$1,715.67 ",4050059,"$1,742.62 ","$1,743 ","$1,711.90 "
6/21/18,"$1,730.22 ",4913177,"$1,760 ","$1,763.10 ","$1,717.56 "
6/20/18,"$1,750.08 ",4320836,"$1,742.50 ","$1,762.93 ","$1,741.36 "
6/19/18,"$1,734.78 ",4278496,"$1,709.04 ","$1,736.11 ","$1,700.39 "
6/18/18,"$1,723.79 ",3094110,"$1,706.26 ","$1,726.74 ","$1,702.56 "
6/15/18,"$1,715.97 ",4729101,"$1,714 ","$1,720.87 ","$1,708.52 "
6/14/18,"$1,723.86 ",3157127,"$1,713.48 ","$1,724.80 ","$1,708.87 "
6/13/18,"$1,704.86 ",3315258,"$1,702.81 ","$1,713.75 ","$1,700.12 "
6/12/18,"$1,698.75 ",2203056,"$1,693 ","$1,699.51 ","$1,691.52 "
6/11/18,"$1,689.12 ",2317881,"$1,681.51 ","$1,694.24 ","$1,680.59 "
6/8/18,"$1,683.99 ",2949020,"$1,681.12 ","$1,689.44 ","$1,673.01 "
6/7/18,"$1,689.30 ",3756128,"$1,698.56 ","$1,699.90 ","$1,676.11 "
6/6/18,"$1,695.75 ",5466032,"$1,704.51 ","$1,714.50 ","$1,686.47 "
6/5/18,"$1,696.35 ",4733275,"$1,672.99 ","$1,699 ","$1,670.06 "
6/4/18,"$1,665.27 ",3178387,"$1,648.90 ","$1,665.68 ","$1,645.49 "
6/1/18,"$1,641.54 ",3302466,"$1,637.03 ","$1,646.73 ","$1,635.09 "
5/31/18,"$1,629.62 ",3157622,"$1,623 ","$1,635 ","$1,621.35 "
5/30/18,"$1,624.89 ",2892704,"$1,618.10 ","$1,626 ","$1,612.93 "
5/29/18,"$1,612.87 ",3837381,"$1,600.71 ","$1,621.79 ","$1,600.15 "
5/25/18,"$1,610.15 ",2624784,"$1,603 ","$1,614.12 ","$1,600.45 "
5/24/18,"$1,603.07 ",3383788,"$1,598.03 ","$1,608.24 ","$1,588.38 "
5/23/18,"$1,601.86 ",3348540,"$1,571.05 ","$1,601.86 ","$1,566.34 "
5/22/18,"$1,581.40 ",2053733,"$1,589.89 ","$1,589.89 ","$1,575.25 "
5/21/18,"$1,585.46 ",2840655,"$1,585 ","$1,592.05 ","$1,575 "
5/18/18,"$1,574.37 ",2612564,"$1,581.33 ","$1,583.59 ","$1,572.10 "
5/17/18,"$1,581.76 ",2131238,"$1,580.56 ","$1,594.04 ","$1,573 "
5/16/18,"$1,587.28 ",2535458,"$1,577.50 ","$1,594.43 ","$1,576.67 "
5/15/18,"$1,576.12 ",5066420,"$1,587.80 ","$1,587.80 ","$1,565.22 "
5/14/18,"$1,601.54 ",2460302,"$1,604 ","$1,611.18 ","$1,600.05 "
5/11/18,"$1,602.91 ",2258583,"$1,610.99 ","$1,611.10 ","$1,597.89 "
5/10/18,"$1,609.08 ",2785394,"$1,608.48 ","$1,615.60 ","$1,603.44 "
5/9/18,"$1,608 ",3628661,"$1,600 ","$1,608 ","$1,592 "
5/8/18,"$1,592.39 ",3033526,"$1,595 ","$1,596.88 ","$1,582.51 "
5/7/18,"$1,600.14 ",3793376,"$1,589.34 ","$1,606.95 ","$1,587.83 "
5/4/18,"$1,580.95 ",3414088,"$1,562.45 ","$1,584.90 ","$1,562.19 "
5/3/18,"$1,572.08 ",4235885,"$1,560.01 ","$1,574.80 ","$1,546.02 "
5/2/18,"$1,569.68 ",4252230,"$1,580.98 ","$1,588.50 ","$1,566.36 "
5/1/18,"$1,582.26 ",4551661,"$1,563.22 ","$1,585 ","$1,552.18 "
4/30/18,"$1,566.13 ",5421282,"$1,582.50 ","$1,596 ","$1,560.94 "
4/27/18,"$1,572.62 ",13025430,"$1,634.01 ","$1,638.10 ","$1,567.39 "
4/26/18,"$1,517.96 ",8309864,"$1,485.01 ","$1,529.42 ","$1,478.50 "
4/25/18,"$1,460.17 ",6365989,"$1,458 ","$1,469.99 ","$1,415.02 "
4/24/18,"$1,460.09 ",7470059,"$1,535.80 ","$1,539.50 ","$1,448.45 "
4/23/18,"$1,517.86 ",4447801,"$1,546.69 ","$1,548 ","$1,503.41 "
4/20/18,"$1,527.49 ",5520642,"$1,561.20 ","$1,561.20 ","$1,516.09 "
4/19/18,"$1,556.91 ",6483967,"$1,543.22 ","$1,568.52 ","$1,539.06 "
